Employee ID,Base Salary,House Rent Allowance,Medical Allowance,Transport Allowance,Tax,Insurance,Loan Repayment,Gross Salary,Net Salary
E0002,81072.1,22019.58,8342.04,5875.17,5039.7,1022.15,2532.34,117308.89,108714.7
E0003,31320.02,8428.05,4396.08,3131.57,2851.74,913.64,3787.84,47275.72,39722.5
E0004,98191.19,27467.16,8665.81,9694.82,7454.75,1809.9,2680.25,144018.98,132074.08000000002
E0005,94870.19,13344.82,11757.57,7106.61,18820.47,552.77,3131.41,127079.19000000002,104574.54000000001
E0006,38058.5,7220.13,2488.83,1677.74,4427.01,956.56,1122.89,49445.2,42938.74
E0007,68892.94,16637.41,4787.32,6090.82,8709.09,1564.14,1365.26,96408.49000000002,84770.00000000001
E0008,36384.12,5273.22,4909.6,1858.81,5468.11,729.49,3488.18,48425.75,38739.97
E0009,40118.36,6373.25,4403.7,1994.17,7342.9,1690.05,145.79,52889.479999999996,43710.74
E0010,96112.86,16524.6,11785.73,6489.01,15165.8,1009.44,2807.86,130912.19999999998,111929.09999999998
E0011,77865.04,22793.07,7909.33,3645.24,12600.42,722.94,3305.11,112212.68,95584.20999999999
E0012,78266.13,14183.89,4099.06,7739.77,5973.47,1710.43,1276.82,104288.85,95328.13
E0013,53714.25,5677.85,4453.79,3690.07,3350.67,585.27,3021.72,67535.96,60578.3
E0014,29818.0,6987.65,2575.9,1897.79,1523.4,1055.22,816.81,41279.340000000004,37883.91
E0015,67568.74,10230.88,6528.5,6265.41,3806.1,1469.33,1750.54,90593.53000000001,83567.56000000001
E0016,97027.21,12283.54,5163.5,8402.76,5408.73,1003.82,2175.52,122877.01,114288.94
E0017,68425.14,17804.44,5964.92,3194.72,9132.32,1015.75,522.42,95389.22,84718.73
E0018,63869.04,10847.64,8433.84,5195.14,10269.85,1569.36,1910.85,88345.65999999999,74595.59999999999
E0019,46421.57,9689.91,4161.13,1423.42,6254.14,547.85,4552.26,61696.02999999999,50341.77999999999
E0020,90155.98,14334.98,9156.57,7236.2,11800.6,1700.29,298.84,120883.73,107084.0
E0021,23078.69,4049.31,2382.61,1319.7,2874.22,1736.75,633.99,30830.31,25585.350000000002
E0022,46621.16,12614.09,5594.3,2108.05,7060.72,684.96,2546.85,66937.6,56645.07000000001
E0023,37409.62,9445.81,3618.33,3072.21,3386.71,1617.62,1859.23,53545.97,46682.41
E0024,99676.04,22356.13,5953.45,4117.7,10768.06,801.1,2628.78,132103.32,117905.38
E0025,29195.58,4049.04,2300.29,1926.43,1828.47,1613.94,597.11,37471.340000000004,33431.82000000001
E0026,95203.7,18696.27,7570.32,6375.5,7723.56,1679.3,3773.83,127845.79000000001,114669.1
E0027,73131.65,13171.32,8278.55,2600.51,4011.52,695.03,3334.8,97182.03,89140.68
E0028,86367.83,25487.66,8441.96,2744.42,12907.91,1564.13,572.73,123041.87000000001,107997.1
E0029,69431.65,15228.13,6841.65,3000.13,5503.4,724.36,4510.08,94501.56,83763.72
E0030,85106.46,20599.07,7748.38,2746.66,11905.4,1476.51,287.14,116200.57,102531.52
E0031,94362.71,24995.82,7940.96,6367.27,12401.56,984.12,575.18,133666.76,119705.90000000001
E0032,59153.67,15398.54,3957.59,3154.19,8540.06,1593.66,891.82,81663.98999999999,70638.45
